rang,ime,leto,opis,ocena_strani,povprecna_ocena,stevilo_glasov
40,Food Chain Magnate,2015,Strategically hire and manage your workforce to outcompete rival fast food chains.,7.798,8.06,20742
41,Marvel Champions: The Card Game,2019,Battle Marvel villains with unique teams of iconic heroes in this LCG.,7.798,8.12,24177
42,Heat: Pedal to the Metal,2022,Manage your race car&#039;s speed to keep from overheating.,7.795,8.05,25210
43,Pax Pamir: Second Edition,2019,Swing the tides of &quot;The Great Game&quot; as countries vie for control of Afghanistan.,7.792,8.18,14535
44,Underwater Cities,2018,"Develop future cities on the seafloor through politics, production, and science.",7.783,8.06,20037
45,Puerto Rico,2002,"Ship goods, construct buildings, and choose roles that benefit you more than others.",7.773,7.91,71391
46,Kanban EV,2020,EV-factory workers optimize and innovate to stand out at the big board meeting.,7.771,8.42,7943
47,Crokinole,1876,Flick discs and make trick shots in this traditional Canadian dexterity game!,7.77,8.04,18389
48,Cascadia,2021,Create the most harmonious ecosystem as you puzzle together habitats and wildlife.,7.766,7.94,40770
49,Caverna: The Cave Farmers,2013,"From a simple cave, expand your dwarven home through mining, agriculture, and more.",7.76,7.94,35140
50,Anachrony,2017,Use Exosuits &amp; time travel to ensure your vision for the future after the cataclysm.,7.754,8.07,19021
51,Pandemic Legacy: Season 0,2020,Work together during the Cold War to prevent a Soviet bio-threat.,7.752,8.39,7884
52,Blood Rage,2015,Ragnarök has come! Secure your place in Valhalla in epic Viking battles.,7.751,7.92,47731
53,On Mars,2020,"Be a part of the first Martian colony, striving to be the best contributor.",7.751,8.19,12931
54,Agricola,2007,Build your farmstead by sowing fields and raising livestock. But don&#039;t forget to eat!,7.745,7.87,73272
55,Sleeping Gods,2021,Voyages of the steamship &quot;Manticore&quot; and her crew on the Wandering Sea.,7.737,8.2,12598
56,Lisboa,2017,Compete to reconstruct the city of Lisboa after the great earthquake of 1755.,7.72,8.19,11335
57,Pandemic Legacy: Season 2,2017,The world is a mystery after a devastating pandemic—where will your team go?,7.719,8.03,17073
58,Cthulhu: Death May Die,2019,Disrupt the ritual and slay the Elder Gods in this co-op dice chucker.,7.718,8.18,12976
59,Mansions of Madness: Second Edition,2016,Unravel mysteries in Arkham with your investigative team in this app-guided game.,7.71,7.94,36856
60,Obsession,2018,"Renovate an estate, manage servants, and pursue romance in Victorian England.",7.705,8.14,13114
61,Tzolk'in: The Mayan Calendar,2012,"Lead your people, build monuments and make offerings to earn the favour of the gods.",7.699,7.86,39723
62,Power Grid,2004,"Bid, network, and manage resources in a race to supply the most cities with power.",7.697,7.81,65943
63,Oathsworn: Into the Deepwood,2022,Fight for humanity&#039;s survival against unnatural horrors and the Deepwood itself.,7.697,8.96,5050
64,Hegemony: Lead Your Class to Victory,2023,"Simulate a whole contemporary nation in this asymmetric, politico-economic euro-game.",7.696,8.47,7166
65,Grand Austria Hotel,2015,Serve guests and prepare rooms to be the best hotelier in the Viennese modern age.,7.696,7.95,21440
66,Maracaibo,2019,Seafarers journey to obtain wealth and fame in the 17th century Caribbean.,7.695,8.01,16636
67,The Quacks of Quedlinburg,2018,"Pull ingredients from your stock to make your pot bubble, but hopefully not explode!",7.681,7.82,50978
68,Clans of Caledonia,2017,"Lead your unique Scottish clan to economic might via production, trade, and export.",7.679,7.94,20638
69,Le Havre,2008,"Establish a supply chain by collecting resources, building industries, and shipping.",7.678,7.85,31977
70,Paladins of the West Kingdom,2019,Invaders are coming from everywhere. Keep the faith and defend your homeland.,7.677,7.98,18159
71,The Gallerist,2015,"Amass a fortune, and stake your reputation by operating a lucrative art gallery.",7.676,8.02,14868
72,Star Wars: Imperial Assault,2014,Play as Rebel or Imperial forces to fulfill mission objectives.,7.669,7.96,24802
73,Sky Team,2023,Pilot and co-pilot work together to land planes.,7.663,8.2,9959
74,Android: Netrunner,2012,Megacorporation versus Netrunner in this futuristic cyberpunk game of cat and mouse.,7.659,7.88,30280
75,Mechs vs. Minions,2016,Cooperatively program and pilot your mechs to defeat an army of marauding minions.,7.657,7.97,17579
76,The Crew: The Quest for Planet Nine,2019,Go on many planet-discovering space missions in this cooperative trick-taking game.,7.656,7.8,42562
77,Kingdom Death: Monster,2015,Try to survive in a nightmarish world that lies under eternal darkness.,7.652,8.5,9760
78,Agricola (Revised Edition),2016,"Help your farm to prosper in this updated, streamlined edition of the acclaimed game.",7.642,7.96,18311
79,Azul,2017,Artfully embellish the walls of your palace by drafting the most beautiful tiles.,7.633,7.74,92568
80,Race for the Galaxy,2007,"Worlds await! Colonize, develop and conquer, taking advantage of others&#039; choices.",7.63,7.74,55956
81,Five Tribes: The Djinns of Naqala,2014,"Move assassins, elders &amp; builders through Naqala to claim oases &amp; control djinns.",7.623,7.77,41901
82,Eclipse: New Dawn for the Galaxy,2011,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",7.614,7.83,28487
83,Clank!: A Deck-Building Adventure,2016,Claim your treasures but don&#039;t attract the dragon in this deck-building dungeon race.,7.614,7.78,42967
84,Aeon's End,2016,Mages must reach their full potential to defend humanity from terrible monstrosities.,7.61,7.9,21107
85,Fields of Arle,2014,"Construct dikes, drain bogs, harvest flax and tend to newborn animals in East Frisia.",7.603,8.03,11167
86,Age of Innovation,2023,Terraform the world to expand your faction and create innovations on the way.,7.594,8.67,4518
87,Teotihuacan: City of Gods,2018,Use your worker dice to raise the legendary and breathtaking Pyramid of the Sun.,7.594,7.86,20197
88,Beyond the Sun,2020,Collectively develop a tech tree to fuel new discoveries and colonize space.,7.592,7.92,15004
89,Lords of Waterdeep,2012,Deploy agents and hire adventurers to expand your control over the city of Waterdeep.,7.591,7.73,56096
90,Through the Ages: A Story of Civilization,2006,"Lead your civilization through strategic drafting of leaders, technologies, and more.",7.588,7.84,19458
91,El Grande,1995,"Use your caballeros to control regions of medieval Spain, keeping clear of the King!",7.578,7.76,29481
92,Dominant Species,2010,"With an ice age approaching, which animals will best propagate, migrate, and adapt?",7.577,7.81,21415
93,Robinson Crusoe: Adventures on the Cursed Island,2012,Work together — with friends or with Friday — to survive on a deserted island.,7.57,7.74,43860
94,The Voyages of Marco Polo,2015,"Using unique abilities, fulfill contracts and reach your goals along the Silk Road.",7.57,7.78,25085
95,7 Wonders,2010,Draft cards to develop your ancient civilization and build its Wonder of the World.,7.57,7.68,105660
96,The Search for Planet X,2020,"Plan, scan, and theorize to find a new planet at the edge of our solar system.",7.565,7.94,12780
97,Concordia Venus,2018,Merchants build and trade throughout the Roman Empire to please the Gods.,7.564,8.29,6114
98,Clank!: Catacombs,2022,Deck-building adventure meets tile-laying in the newest incarnation of Clank!,7.55,8.28,6614
99,Tainted Grail: The Fall of Avalon,2019,Will take you on a fantastic adventure set in a dark Arthurian lore and legends.,7.547,8.09,12704
100,Decrypto,2018,Decipher your opponents&#039; code before they decipher yours. Don&#039;t get caught.,7.543,7.77,23251
101,Wingspan Asia,2022,Travel to Asia to discover new birds for your wildlife preserve.,7.543,8.3,6427
102,Revive,2022,"Revive civilization, 5000 years after the fall of humankind.",7.541,8.14,7812
103,Inis,2016,Claim the crown through merit and wisdom in this Celtic island struggle.,7.54,7.83,20630
104,Battlestar Galactica: The Board Game,2008,How can the human race survive when you don&#039;t know who is actually human?,7.539,7.73,36669
105,SCOUT,2019,Poach your opponents&#039; artists and outdo each other&#039;s circus shows.,7.537,7.82,16893
106,Architects of the West Kingdom,2018,Will you be a virtuous or nefarious servant of the king? Build your way to glory.,7.537,7.73,29619
107,Trickerion: Legends of Illusion,2015,Magicians perform dazzling tricks for money and fame in a Victorian steampunk world.,7.537,7.97,11133
108,Carnegie,2022,Become the most influential entrepreneur and benefactor of your era!,7.529,8.02,9561
109,Keyflower,2012,Compete in a unique auction system to build the most prosperous village.,7.523,7.72,23320
110,Raiders of the North Sea,2015,Gather your Viking crew in order to plunder seas and lands for glory!,7.521,7.74,24443
111,Tigris & Euphrates,1997,Keep your Mesopotamian civilization in perfect balance through revolutions and wars.,7.516,7.7,28858
112,Dominion: Intrigue,2009,"Enlist torturers, swindlers, and saboteurs to gain wealth and dominate the kingdom.",7.516,7.69,33811
113,Caylus,2005,Entrepreneurs pay workers &amp; bribe an official to build a Château &amp; gain royal favor.,7.514,7.71,29270
114,Darwin's Journey,2023,Retrace Darwin’s journey to the Galapagos in a worker-placement adventure.,7.513,8.17,7088
115,Dwellings of Eldervale,2020,Battle for control of a new fantasy realm in this worker placement game.,7.513,8.16,7487
116,Lorenzo il Magnifico,2016,Avoid excommunication and lead your family to power during the Italian Renaissance.,7.513,7.85,14021
117,Troyes,2010,"Defend the city and rise to power by influencing the merchants, knights and clergy.",7.51,7.72,23740
118,Eldritch Horror,2013,Investigators trek across the globe to stop the Ancient One apocalypse.,7.509,7.75,36835
119,Splendor Duel,2022,Renaissance merchants go head to head to please nobility.,7.508,7.93,11976
120,Mombasa,2015,Acquire shares of unique companies and propagate their trading posts to rake in cash.,7.508,7.85,13344
121,The Lord of the Rings: Journeys in Middle-Earth,2019,"Heroes explore Middle-earth, working together to combat evil in an epic campaign.",7.505,7.91,16616
122,The Quest for El Dorado,2017,Race through a dense South American jungle in pursuit of the legendary city of gold.,7.498,7.69,26528
123,The 7th Continent,2017,Journey through a vibrant but deadly land to uncover the key to lifting your curse.,7.497,7.8,22416
124,Twilight Imperium: Third Edition,2005,"Epic empire-building game of interstellar conflict, trade, and struggle for power.",7.494,7.79,19325
125,Final Girl,2021,You alone must survive and defeat the horror movie killer.,7.493,8.28,6858
126,Patchwork,2014,Piece together a quilt and leave no holes to become the button master.,7.486,7.59,67035
127,Russian Railroads,2013,"Acquire locomotives &amp; industry, build track, and hire the best engineers in Russia.",7.485,7.73,18118
128,Trajan,2011,Manage and rule all aspects of Ancient Rome with a clever action selection mancala.,7.484,7.75,17894
129,Dominion,2008,Acquire the most valuable lands by building your deck with treasure and power cards.,7.48,7.6,91720
130,Age of Steam,2002,"Outperform your railroad rivals with shares, auctions, track-building, and deliveries",7.479,7.85,11470
131,Ra,1999,Bid to acquire the most valuable sets of Egyptian artifacts and resources.,7.476,7.64,26775
132,The White Castle,2023,Become the most influential clan in Japan&#039;s Himeji stronghold.,7.475,7.99,9791
133,Rising Sun,2018,"Lead your clan to victory through negotiation, combat, monsters and favors from Kami.",7.474,7.77,21539
134,Hansa Teutonica,2009,Build networks of merchants along the roads and market towns of the Hanseatic League.,7.47,7.74,15847
135,Aeon's End: War Eternal,2017,War Eternal is a standalone game compatible with the deck building game Aeon&#039;s End.,7.466,8.25,5801
136,Vinhos: Deluxe Edition,2016,The strategic craft of fine winemaking.,7.465,8.09,7019
137,Nemesis: Lockdown,2022,Survive an alien-infested lab on Mars but beware of other players and their agendas.,7.461,8.32,5982
138,Iberia,2016,"Travel from Barcelona to Lisboa to cure malaria, typhus, yellow fever, and cholera.",7.454,7.89,10973
139,Clank! In! Space!: A Deck-Building Adventure,2017,Tiptoe your way through Lord Eradikus&#039; spaceship to nab artifacts and an escape pod.,7.454,7.78,14653
140,Forbidden Stars,2015,"Assemble your armies, devise your strategy, and wage war across the Herakon Cluster.",7.45,7.98,9363
141,Codenames,2015,Give your team clever one-word clues to help them spot their agents in the field.,7.446,7.54,93419
142,Yokohama,2016,Claim your fame as the dominant merchant in Yokohama during the Meiji period.,7.445,7.81,11875
143,Champions of Midgard,2015,"Gain glory by defending a Viking harbor town against trolls, draugr and other beasts.",7.442,7.72,17688
144,Great Western Trail: New Zealand,2023,Tend to your sheep on the South Island of New Zealand.,7.439,8.6,3713
145,Wonderland's War,2022,The looking glass has shattered and war has come to Wonderland!,7.438,8.1,7382
146,PARKS,2019,"Hike through National Parks tiles, collecting memories and admiring gorgeous scenery.",7.435,7.66,26215
147,Roll for the Galaxy,2014,"Utilize your dice populace to develop technologies, settle worlds, and ship goods.",7.433,7.59,32076
148,The Isle of Cats,2019,Rescue as many cats as you can before Lord Vesh comes to destroy their home.,7.433,7.69,22150
149,Just One,2018,"Give one-word clues so someone can guess one word, but duplicate clues are discarded.",7.433,7.6,28536
150,Pandemic,2008,Your team of experts must prevent the world from succumbing to a viral pandemic.,7.426,7.53,126763
151,Rajas of the Ganges,2017,Manage your dice to build profitable markets and grand monuments in historic India.,7.423,7.73,14465
152,Targi,2012,Outwit your rival by selecting where to place nomad workers on a dynamic desert grid.,7.423,7.61,24047
153,Cartographers,2019,Explore lands on behalf of the queen and draw the most proficient maps to earn favor.,7.421,7.6,30387
154,Blood on the Clocktower,2022,Deduce who the Demon is through logic and bluffing. Dead players still play.,7.421,8.32,5941
155,Hadrian's Wall,2021,Compete as one of six Roman Generals in charge of a milecastle along Hadrian&#039;s Wall.,7.418,7.94,8387
156,Res Arcana,2019,"Rival mages create artifacts, vying for places of power and ancient monuments.",7.418,7.64,22584
157,Alchemists,2014,Showcase your alchemical know-how by publishing theories in this app-driven game.,7.415,7.65,23049
158,Watergate,2019,Will Nixon triumph in his tug of war with the Press or will the truth be exposed?,7.414,7.77,12202
159,Star Realms,2014,Compete head-to-head to create the most powerful deck of spaceships and bases.,7.414,7.56,45233
160,It's a Wonderful World,2019,"Draft yourself the ‘perfect’ dystopia, complete projects and churn out resources.",7.409,7.67,19533
161,Praga Caput Regni,2020,Wealthy citizens of medieval Prague organize building projects to gain king&#039;s favor.,7.407,7.9,9037
162,Tyrants of the Underdark,2016,Lead a Drow house and build the best deck to establish supremacy over the Underdark.,7.407,7.91,9351
163,Voidfall,2023,"Repel the Voidborn and restore Domineum in this space themed, heavy Euro.",7.403,8.57,3960
164,Undaunted: Normandy,2019,Command your rifle platoon to victory in this WWII multi-scenario deck builder.,7.403,7.8,12101
165,Ticket to Ride: Europe,2005,Build train routes across Europe in this sequel to the hit family board game.,7.402,7.53,77553
166,Kemet,2012,Play as warring Egyptian Gods and build the most powerful army to dominate Egypt.,7.402,7.65,19361
167,Magic: The Gathering,1993,Cast spells and summon fantasy monsters in the original collectible card game.,7.401,7.58,40227
168,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,The game is afoot as you and your irregular friends search Victorian London for clues,7.4,7.63,21572
169,Stone Age,2008,Prehistoric tribes struggle to survive and adapt. Which one will rise to the top?,7.398,7.52,53152
170,The Lord of the Rings: The Card Game,2011,Guide your fellowship as it embarks on unique adventures in Tolkien&#039;s Middle-earth!,7.397,7.66,24291
171,Endeavor: Age of Sail,2018,"Spread your glory over the vast, as of yet unexplored world in this updated classic.",7.396,7.88,9488
172,Terraforming Mars: Ares Expedition,2021,"Return to Mars and terraform it once again, this time using only cards.",7.393,7.67,17858
173,Too Many Bones: Undertow,2018,Songstress Stanza &amp; stealthy Duster board a raft &amp; chuck gobs of dice on the Sibron.,7.391,8.69,3433
174,Legendary Encounters: An Alien Deck Building Game,2014,"In space, no one can hear you build a deck of marine &amp; weapon cards to fight aliens.",7.39,7.76,13256
175,Viscounts of the West Kingdom,2020,Travel the Kingdom seeking upgrades in an attempt to bring poverty or prosperity.,7.39,7.84,9908
176,Istanbul,2014,Send your assistants through the shops of Istanbul as you race to acquire rubies.,7.385,7.54,31675
177,Star Wars: X-Wing Miniatures Game,2012,Pilot your ships in tight arcs to take out the enemy! The universe can be yours.,7.385,7.63,25086
178,Glen More II: Chronicles,2019,"Expand your Scottish clan by trading livestock, making whisky and gaining landmarks.",7.385,7.9,8400
179,Marco Polo II: In the Service of the Khan,2019,"Travel to cities along the silk road, trading silk, spice, gold &amp; jade along the way.",7.384,7.96,7429
180,War Chest,2018,"Recruit, bolster and maneuver your way to controlling the hex-grid battlefield.",7.384,7.84,10381
181,Dominion (Second Edition),2016,Acquire cards to grow your kingdom&#039;s influence in this classic deck-building game.,7.381,7.83,10460
182,That's Pretty Clever!,2018,"Draft dice to mark numbers on your scoresheet, comboing bonuses to power your points.",7.38,7.57,24912
183,Radlands,2021,Post-apocalyptic bands of punks fight to destroy the rival tribe&#039;s camps.,7.378,7.83,10927
184,ISS Vanguard,2022,"Crew the first interstellar ship in outer space, exploring and discovering...",7.378,8.58,4643
185,Welcome To...,2018,"Design the most appealing 1950s neighborhood, with fences, parks, and swimming pools.",7.377,7.53,31478
186,Ticket to Ride Legacy: Legends of the West,2023,Build train lines across the United States in a twelve-game campaign.,7.376,8.73,3119
187,Xia: Legends of a Drift System,2014,Pilot your ship to stardom in a massive sci-fi sandbox.,7.376,7.86,10121
188,Unmatched: Cobble & Fog,2020,Heroes from Victorian-era literature join a skirmish to the death.,7.376,7.97,7813
189,Jaipur,2009,Trade and sell goods to become the most wealthy merchant in this short game for two.,7.372,7.49,52462
190,War of the Ring,2004,"Rings, Fellowship, diplomacy and war in the Third Age of Middle Earth.",7.36,7.78,10735
191,Chaos in the Old World,2009,Rival chaos gods send forth their minions to spread corruption and destruction.,7.359,7.66,15716
192,Earth,2023,"Strategically grow your ecosystem card engine with unique flora, fauna, and terrains.",7.358,7.68,15154
193,Planet Unknown,2022,Develop and colonize your planet with oddly shaped tiles served on a rotating tray.,7.356,7.82,9234
194,Welcome to the Moon,2021,Escape from Earth and plan the humankind journey to the moon to save humanity.,7.352,7.96,6893
195,Dune,2019,Wildly different factions vie for control of Arrakis through alliance and treachery.,7.351,7.94,9019
196,This War of Mine: The Board Game,2017,Civilians trapped in a war-torn city must make difficult decisions to survive.,7.351,7.77,13352
197,Memoir '44,2004,Revisit the battles of D-Day and control the forces of the Allies and the Axis!,7.343,7.53,30412
198,Descent: Journeys in the Dark (Second Edition),2012,Fight the Overlord and level up your heroes in this fantasy dungeon campaign.,7.341,7.61,25422
199,Star Wars: Outer Rim,2019,Star Wars characters race across the galaxy trying to achieve the most fame!,7.341,7.73,12878
200,Cosmic Encounter,2008,Conquer the galaxy with shifting alliances and the unique powers of your alien race.,7.337,7.52,33226
201,The Red Cathedral,2020,Lead a construction team to build Saint Basil&#039;s Cathedral under the Tsar&#039;s reign.,7.337,7.7,12653
202,Meadow,2021,Start your journey into nature and collect cards to become a true nature observer.,7.335,7.74,10928
203,Sekigahara: The Unification of Japan,2011,Defend or depose the Toyotomi heir by commanding the loyalty of the feudal lords.,7.335,8.01,6050
204,Castles of Mad King Ludwig,2014,Choose and play tiles to satisfy the king&#039;s whims and build the best fantasy castle.,7.334,7.52,26037
205,Sagrada,2017,Craft the best stained-glass windows by carefully placing colorful transparent dice.,7.332,7.47,42176
206,Horrified,2019,Classic movie monsters terrorize a town! Can your team stop them in time?,7.329,7.63,16997
207,Azul: Summer Pavilion,2019,You&#039;re an artisan working on creating striking patterns within a king&#039;s palace.,7.329,7.61,16409
208,Railways of the World,2005,"Build rails, race to deliver scarce goods, and fulfill your Rail Baron&#039;s secret goal.",7.327,7.67,12293
209,The Resistance: Avalon,2012,Who can you trust? A game of social deduction set in King Arthur’s legendary realm.,7.325,7.51,33968
210,Space Base,2018,Amass spaceships for your fleet as you roll your way to domination.,7.321,7.55,19735
211,Great Western Trail: Argentina,2022,Travel the beautiful plains of the Pampas with your cattle.,7.32,8.33,3962
212,A Game of Thrones: The Board Game (Second Edition),2011,Make alliances—and break them!—as you strive to both unite and conquer Westeros.,7.318,7.54,34904
213,Ticket to Ride: Nordic Countries,2007,"Build railways to connect destinations across Scandinavia, Finland, and Estonia.",7.317,7.63,14240
214,Ora et Labora,2011,Manage workers and resources to build up the land around your medieval monastery.,7.317,7.68,11060
215,Modern Art,1992,Four types of auctions challenge players in this classic game of art speculation.,7.315,7.51,22858
216,Nucleum,2023,Become the leader of the industrial revolution in an alternate timeline.,7.313,8.19,4776
217,Go,-2200,Use stones to control space in this ancient game with simple rules.,7.313,7.65,17391
218,Paleo,2020,"Your Stone Age tribe must work together to eat, survive, and develop new tech.",7.309,7.69,12835
219,Captain Sonar,2016,"Torpedoes away! Hunt for your opponent&#039;s sub in this exciting, real-time team game.",7.307,7.52,21730
220,Commands & Colors: Ancients,2006,Accessible tactical wargame from the dawn of history to the opening of the Dark Age.,7.306,7.78,8845
221,Suburbia,2012,Expand your meager neighborhood into a sprawling suburb to attract the most citizens.,7.304,7.47,25411
222,Wyrmspan,2024,Build a cavernous sanctuary for dragons of all shapes and sizes!,7.301,8.08,6112
223,Village,2011,"Send your villagers to work, travel, pray, and in death become a part of history!",7.301,7.49,23452
224,Dead of Winter: A Crossroads Game,2014,"As you struggle to keep survivors alive, how will you value group vs. personal needs?",7.3,7.46,46727
225,Splendor,2014,"Renaissance merchants race to grab gems, acquire property, and please nobility.",7.296,7.42,81610
226,Carcassonne,2000,"Shape the medieval landscape of France, claiming cities, monasteries and farms.",7.296,7.41,128488
227,Ankh: Gods of Egypt,2021,Take the role of Egyptian gods fighting to survive and be remembered.,7.296,7.79,9651
228,7 Wonders (Second Edition),2020,Draft cards to develop your ancient civilization and build its Wonder of the World.,7.291,7.85,8286
229,Nidavellir,2020,Assemble and prepare a formidable crew of dwarfs to fight the mighty Fafnir!,7.29,7.59,13901
230,Tichu,1991,Be the first team to empty your hands in this popular partnership climbing card game.,7.289,7.58,15719
231,Star Realms: Colony Wars,2015,"Expand your fleet, defend your bases, and prevail in the battle for the colonies.",7.284,7.8,8256
232,Aeon's End: Legacy,2019,Defend your increasingly desperate home from The Nameless in an evolving campaign.,7.283,8.06,5215
233,Clash of Cultures: Monumental Edition,2021,Advance your ancient civilization from tiny settlement to mighty empire.,7.282,8.33,4001
234,Paths of Glory,1999,Step into the shoes of rulers and generals who triumphed or failed in the Great War.,7.28,8.07,5291
235,Harmonies,2024,Create your own landscape and habitats to welcome animals.,7.279,8.07,5735
236,Coimbra,2018,Spread your influence across monasteries of Portugal and beyond!,7.278,7.62,12064
237,Under Falling Skies,2020,You alone command the forces of a city holding off invading aliens.,7.278,7.65,11672
238,Star Wars: The Deckbuilding Game,2023,The Rebels and Empire go head-to-head to eliminate one another&#039;s bases.,7.277,7.89,7125
239,Near and Far,2017,Explore the lands to discover the Last Ruin and become the most storied traveller.,7.276,7.68,10507
240,My City,2020,Develop your city through the ages in this family-friendly legacy experience.,7.275,7.63,11252
241,YINSH,2003,"Move rings over pieces to flip them, creating rows of five in your color.",7.275,7.71,9155
242,Nations,2013,"Steer the fate of your nation, from the ancient world until the outbreak of WW1.",7.275,7.6,12330
243,Calico,2020,"Sew a quilt, collect buttons, attract cats!",7.274,7.53,19450
244,Combat Commander: Europe,2006,Recreate the European theater of World War II in this acclaimed card-driven wargame.,7.273,7.95,5954
245,Ticket to Ride,2004,Build your railroad across North America to connect cities and complete tickets.,7.272,7.39,90862
246,Return to Dark Tower,2022,Cooperative or competitive strategy game pitting heroes against an ominous Tower.,7.27,8.28,4494
247,The Taverns of Tiefenthal,2019,&quot;Build your way to the best Tavern in town with this deckbuilding dice drafting game&quot;,7.27,7.57,14665
248,Cyclades,2009,"Win the favor of the Gods in this competitive auction, area control game.",7.269,7.51,21741
249,Dinosaur Island,2017,Clone dinosaurs and build attractions to gain the most excitement.,7.267,7.56,16221
250,Secret Hitler,2016,"In pre-WW2 Germany, Liberals and Fascists square off in an intrigue-filled parliament",7.264,7.51,29668
251,La Granja,2014,Develop your farm and compete to deliver goods to the market at the right time.,7.259,7.61,11245
252,KLASK,2014,"Use magnets to push a ball into the goal, but beware of falling in yourself!",7.258,7.63,10588
253,Codenames: Duet,2017,"Swap one-word coded clues with your partner, trying to identify specific word cards.",7.256,7.43,23569
254,Slay the Spire: The Board Game,2024,"Craft a unique deck, discover powerful relics, and Slay the Spire together!",7.252,8.81,2980
